"Frame" "Untracked" "Tracking ID" "Lineage ID" "Position X (µm)" "Position Y (µm)" "Pixel Position X (Pixels)" "Pixel Position Y (pixels)" "Volume (µm³)" "Mean Thickness (µm)" "Radius (µm)" "Area (µm²)" "Sphericity ()" "Length (µm)" "Width (µm)" "Orientation (°)" "Dry Mass (pg)" "Displacement (µm)" "Instantaneous Velocity (µm/s)" "Instantaneous Velocity X (µm/s)" "Instantaneous Velocity Y (µm/s)" "Track Length (µm)"
70 "1" "3" "3" "117.546440124512" "417.681884765625" "144" "514" "1697.5302734375" "4.35839986801147" "11.13427734375" "389.469909667969" "0.817041099071503" "21.1243953704834" "20.311918258667" "90" "424.382049560547" "41.7313041687012" "0.0196546614170074" "0.0192184653133154" "-0.00411779619753361" "217.465255737305"
71 "1" "3" "3" "124.664566040039" "415.076599121094" "153" "510" "1718.05212402344" "4.30869150161743" "11.265604019165" "398.711547851563" "0.799749195575714" "22.0701103210449" "21.6760005950928" "14.0362396240234" "429.512664794922" "49.2584457397461" "0.0180984996259212" "0.0176139697432518" "-0.00415977789089084" "225.045181274414"
72 "1" "3" "3" "130.213043212891" "414.687927246094" "160" "510" "1669.38659667969" "4.11079216003418" "11.3677253723145" "405.972869873047" "0.782362759113312" "21.9368724822998" "21.1243953704834" "90" "417.346252441406" "54.4447631835938" "0.00968470145016909" "0.00909923762083054" "-0.00331622129306197" "230.60725402832"
73 "1" "3" "3" "131.200561523438" "412.690002441406" "161" "507" "1683.90991210938" "4.08725023269653" "11.4506015777588" "411.913940429688" "0.77354234457016" "22.7493495941162" "21.1243953704834" "0" "420.977081298828" "56.1800804138184" "0.00305683515034616" "0.00179550237953663" "-0.00247394666075706" "232.835906982422"
74 "1" "3" "3" "131.506652832031" "412.907287597656" "161" "508" "1679.22314453125" "4.2103271484375" "11.265604019165" "398.711547851563" "0.79163271188736" "22.7493495941162" "20.311918258667" "0" "419.805145263672" "56.3634605407715" "0.00572527339681983" "0.00437411060556769" "0.00369403744116426" "233.211273193359"
75 "1" "3" "3" "134.350769042969" "415.350311279297" "165" "511" "1696.91430664063" "4.11204671859741" "11.4597730636597" "412.574035644531" "0.773940563201904" "21.9368724822998" "21.1243953704834" "0" "424.228240966797" "57.9965858459473" "0.00457152025774121" "0.00431834347546101" "0.00150023563764989" "236.960586547852"
76 "1" "3" "3" "134.615859985352" "413.987457275391" "165" "509" "1684.45617675781" "4.0566873550415" "11.4963865280151" "415.214538574219" "0.771070539951324" "21.9368724822998" "21.1243953704834" "0" "421.113952636719" "58.7611694335938" "0.00715074175968766" "0.000770865532103926" "-0.00710906973108649" "238.348983764648"
77 "1" "3" "3" "134.905792236328" "410.231781005859" "166" "504" "1711.47680664063" "4.10220193862915" "11.5237693786621" "417.194854736328" "0.769653618335724" "22.7493495941162" "21.1243953704834" "90" "427.868988037109" "60.5863990783691" "0.00267465389333665" "0.00261862017214298" "0.000544611597433686" "242.115844726563"
78 "1" "3" "3" "136.501266479492" "414.379577636719" "168" "510" "1710.92456054688" "4.14614868164063" "11.4597730636597" "412.574035644531" "0.78404313325882" "21.9368724822998" "21.1243953704834" "90" "427.730621337891" "60.3539428710938" "0.00707252277061343" "0.00470862910151482" "0.00527725229039788" "246.559906005859"
79 "1" "3" "3" "138.296005249023" "414.031402587891" "170" "509" "1680.28796386719" "4.02653694152832" "11.5237693786621" "417.194854736328" "0.76818722486496" "22.7493495941162" "21.1243953704834" "90" "420.071380615234" "62.1498031616211" "0.00206429371610284" "0.00176467897836119" "0.00107108219526708" "248.388107299805"
